model_type	입력	출력
LoRa	나무는 크고 가지가 많으며 뿌리가 깊게 뻗어 있다	이는 큰 성장 가능성을 의미하는 동시에, 의존성이나 경계 설정의 어려움과 관련된 잠재적 문제를 시사합니다. 나무와 뿌리의 확장된 모습은 외부 지원과 자원에 대한 과도한 필요를 나타내며, 이는 불안감이나 낮은 자존감을 반영할 수 있습니다. 또한 타인에게 지나치게 의존함으로써 건강한 관계 형성에 어려움을 겪을 수 있음을 의미합니다.
LoRa	집은 작고 문이나 창문이 없으며 굴뚝에서 연기가 나지 않는다	이는 고립감, 분리감, 그리고 해결되지 않은 슬픔이나 상실감을 나타낼 수 있습니다. 구조 내부에 시각적 자극이 거의 없다는 점은 관계 형성의 어려움이나 공허감을 반영할 수 있으며, 외부 압력이나 도전을 감당하는 데 어려움을 겪고 있음을 시사합니다.
LoRa	사람의 손은 등 뒤로 숨겨져 있고 얼굴에는 표정이 없다	이 맥락에서 그것은 방어적 태도나 감정 표현의 어려움을 의미합니다. 손의 위치가 가려져 있는 모습은 사회적 상호작용에 대한 불안이나 취약해지는 것에 대한 두려움을 암시할 수 있습니다. 얼굴의 표정이 드러나지 않는 점 역시 타인의 평가를 의식하거나 자신의 감정을 드러내는 데 불안을 느낄 가능성을 보여줍니다. 이는 심리 평가에서 흔히 우울감이나 낮은 자존감과 관련됩니다.
LoRa	나무 줄기에는 구멍이 나 있고 가지들은 아래로 처져 있다	이는 개인의 삶에서 불안정감이나 불안정한 경험을 시사합니다. 부서진 구조는 외부 압력에 대처하는 데 어려움이 있음을 나타내며, 과거 사건에서 비롯된 갈등이 해결되지 않았을 가능성도 있습니다. 또한 미래에 대한 불안감을 반영할 수 있으며, 전반적으로 취약성과 신뢰의 어려움이 드러납니다.
LoRa	집은 지나치게 큰 지붕에 복잡한 장식이 많다	이는 관계 내 통제 문제, 권력 역학, 혹은 집에서의 과도한 책임으로 인한 부담을 나타낼 수 있습니다. 지나치게 화려한 장식은 과장된 자기중심성을 반영하기도 합니다. 복잡한 구성은 인지적 과활동이나 현실적인 과업에 집중하는 데 어려움을 의미할 수 있습니다.
LoRa	나무는 구석에 그려져 있으며 줄기는 매우 가늘고 잎은 드문드문하다	이는 안정적인 기반이나 관계를 형성하는 데 어려움이 있음을 시사합니다. 구조가 견고하지 못한 모습은 정서적 연결과 지지 체계와 관련된 불안정감을 나타낼 수 있으며, 취약성과 의존을 회피하려는 경향을 보여줄 수 있습니다. 불안 관련 주제에 대한 추가 탐색이 필요할 수 있습니다.
LoRa	사람은 페이지 하단에 매우 작게 그려져 있으며 얼굴 특징이 없다	이는 불안이나 두려움으로 인해 복잡한 정보를 처리하는 데 어려움을 겪고 있거나, 초기 발달 단계로의 퇴행을 시사할 수 있습니다. 세부 표현의 부족은 외부 자극과 완전히 교감하는 데 어려움이 있음을 반영합니다.
LoRa	집은 벽에 짙은 그림자가 드리워져 있고 창문에는 쇠창살이 있다	이는 신뢰, 취약성, 관계에서의 제약감과 관련된 어려움을 나타낼 수 있습니다. 음영 처리된 부분은 열린 의사소통을 회피하려는 경향과 대인 관계 불안을 암시합니다. 또한 타인의 평가나 거절에 대한 두려움이 내면화되어 있을 가능성을 나타냅니다. 이러한 특징은 종종 우울 증상이나 성격 장애의 대인 관계적 고통과 관련됩니다.
LoRa	나무는 부러진 가지가 있고 한쪽으로 기울어져 보인다	이는 개인이 스트레스를 관리하는 데 어려움을 겪고 있음을 시사합니다. 집과 사람의 비대칭 구조는 자존감과 감정 조절의 불균형을 나타낼 수 있습니다. 외부 압력에 압도되거나 불안감을 느끼고 있을 가능성이 있으며, 대처 전략과 지지 체계에 대한 탐색이 필요합니다.
LoRa	사람은 비정상적으로 큰 손과 발을 가지고 있으며 과장된 디테일이 있다	이는 감정 조절의 어려움 또는 감각 과민 상태—특히 내부적으로 강렬한 감정을 경험하는 상태—를 나타낼 수 있습니다. 세밀한 표현은 이러한 감정이 외부 상황보다 내면에서 더 강하게 작용하고 있음을 시사합니다.
LayerFreezing	나무는 우뚝 솟아 높고 가지가 많다.	이는 통제 욕구, 주장성, 혹은 주변 환경에서 강하고 영향력 있는 존재로 보이고자 하는 욕구를 의미할 수 있습니다. 크게 그려진 나무는 권력이나 우월성에 대한 필요를 나타낼 수도 있습니다.
LayerFreezing	창문이 없는 작은 집이 중심에서 멀리 떨어져 있다.	이는 고립감, 거리감, 혹은 안정적인 애착 형성의 어려움을 시사합니다. 창문의 부재는 외부 관계에 참여하려는 의지가 낮음을 의미하거나, 스스로 만든 방어 속에 갇혀 있다고 느끼는 심리를 반영할 수 있습니다.
LayerFreezing	인물은 아주 작게 그려져 하단 모서리에 배치되었다.	이는 무력감, 통제력 상실, 환경에 대한 불안감을 시사합니다. 집에 비해 지나치게 작게 그려진 사람의 모습은 외부 요인에 압도되거나 자신이 중요하지 않다고 느끼는 정서를 반영할 수 있습니다. 화면 아래쪽에 배치된 위치는 보호받고 싶어하는 마음, 압도적인 상황에 빠질까 두려운 감정, 스스로 문제를 해결할 수 없다는 느낌을 시사합니다.
LayerFreezing	나무에는 잎이 없고 가지가 부러져 있다.	나뭇잎이 없고 가지가 부서진 모습은 손상되거나 거부된 자아상을 강하게 시사합니다. 이는 무가치감, 상실감, 통합의 어려움으로 이어져 무력감이나 우울감으로 나타날 수 있습니다.
LayerFreezing	큰 문과 많은 창문이 있는 집이다.	이 구성은 개방과 연결에 대한 욕구가 있으나, 외부 영향에 대한 불안도 함께 존재함을 나타냅니다. 큰 문은 상호작용 욕구를 나타내지만 동시에 타인에게 관찰되고 있다고 느끼는 의식을 반영할 수 있습니다. 많은 창문은 관계에 대한 갈망과 동시에 노출됨으로 인한 취약성도 나타낼 수 있습니다.
